	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
158	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	4	0.0012771003046135876	661527.0832399322	662373.0	0.8989224062228016	690963	768657	0.8079491309877067	0.8891798784792279	238244	262196.9166665623	294875
159	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	5	0.0012343016411552332	659762.647490489	660578.0	0.8986079373800199	688579	766273	0.8024647815677205	0.88612961242166	236626	261296.5833332245	294874
160	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	6	0.0011653761148282538	656552.9761375772	657319.0	0.8978933119554218	683216	760910	0.7901548166109915	0.8790771482990879	232989	259209.0833332105	294865
161	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	7	0.001061563897423512	650023.2255100518	650714.0	0.8966014242690008	673709	751403	0.7671034959912092	0.8667498157262904	226182	255562.9166665281	294852
162	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	8	0.0009549935238331033	637372.7313216779	637982.0	0.8943030810922586	657370	735064	0.7270784573114888	0.8454691157010968	214350	249252.7499998404	294810
163	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	9	0.0008286909066494985	611704.6654826583	612212.0	0.8902515510051869	630234	707928	0.6570981706655087	0.8102876881801748	193681	238833.9166664829	294752
164	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	10	0.0006525916361606043	561096.5939421863	561463.0	0.8831607678599626	587271	664965	0.5386664856517386	0.7544444821552324	158710	222285.74999980693	294635
165	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	0	0.0018622804848702488	672718.8713724901	673974.0	0.902166355263618	696753	772311	0.8221721068249258	0.8968610993355691	242438	264461.91666657594	294875
166	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	1	0.001850943120623727	672453.0196196358	673700.0	0.9021055127353008	696273	771831	0.821049597286986	0.8962150628794411	242107	264271.4166665752	294875
167	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	2	0.0018402586225946265	672098.8839395794	673338.0	0.9020605928627814	695919	771477	0.8202085629504027	0.8957414158538644	241859	264131.74999990826	294875
168	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	3	0.0018176289328353246	671463.3064636867	672686.0	0.9019843632641784	695319	770877	0.8188554472233998	0.8949453158114684	241460	263896.99999990675	294875
169	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	4	0.0017589365246217794	670084.2874737998	671265.0	0.9016927100274528	693032	768590	0.8135413310724884	0.8919228486643497	239893	263005.7499999001	294875
170	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	5	0.0015749006528177345	667489.1127677639	668542.0	0.9013603133159268	690442	766000	0.8075110047003127	0.8886021374097473	238114	262025.66666656182	294874
171	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	6	0.0014394918548763511	663659.2906813795	664616.0	0.9006486411146161	684955	760513	0.7948552727519373	0.881380744860238	234375	259888.3333332141	294865
172	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	7	0.0012648312786226468	656291.8502756978	657123.0	0.8993570455262916	675195	750753	0.7711360275663722	0.8687112517461787	227371	256141.2499998643	294852
173	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	8	0.0010600763800606703	641587.1468635312	642268.0	0.8970363788987125	658274	733832	0.7295614124351277	0.8466735637636968	215082	249607.83333317545	294810
174	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	9	0.0008707580219086131	613602.2352806991	614137.0	0.8929900691702404	630526	706084	0.6579090218217348	0.8106736058329826	193920	238947.66666648327	294752
175	pandora_nanopore_nodenovo_b19d26	100x	0	0.0	1.0	10	0.0006484706911931147	561111.8992701917	561476.0	0.8860073140705337	587274	662832	0.5386732737115414	0.7544478761851339	158712	222286.74999980693	294635
176	pandora_nanopore_nodenovo_v0.10.0-alpha.0	100x	5	0.0	1.0	0	0.0013804325473393275	662943.5860491233	663860.0	0.8976707569877937	693281	772311	0.8156778295888089	0.8921650416840079	240523	263077.1666665719	294875
177	pandora_nanopore_nodenovo_v0.10.0-alpha.0	100x	5	0.0	1.0	1	0.0013735903229072919	662721.4401332381	663633.0	0.8976274119670874	692954	771984	0.8148876642645189	0.8917058075452466	240290	262941.7499999046	294875
178	pandora_nanopore_nodenovo_v0.10.0-alpha.0	100x	5	0.0	1.0	2	0.0013697159467118696	662382.4797399895	663291.0	0.8975767299721877	692572	771602	0.8139177617634591	0.8911827045354953	240004	262787.4999999042	294875
179	pandora_nanopore_nodenovo_v0.10.0-alpha.0	100x	5	0.0	1.0	3	0.0013526185442560568	661815.603459299	662712.0	0.8975121771562256	692086	771116	0.8127816871555744	0.8905298855443937	239669	262594.9999999031	294875
180	pandora_nanopore_nodenovo_v0.10.0-alpha.0	100x	5	0.0	1.0	4	0.001306431344493708	660553.9027929875	661418.0	0.8972519478966097	690133	769163	0.8083866044934295	0.8880016956333927	238373	261849.4999998967	294875
181	pandora_nanopore_nodenovo_v0.10.0-alpha.0	100x	5	0.0	1.0	5	0.0012632954608275961	658809.6759923333	659643.0	0.8968904034882174	687436	766466	0.8017553319564694	0.8844587330813358	236416	260802.9999998927	294873
182	pandora_nanopore_nodenovo_v0.10.0-alpha.0	100x	5	0.0	1.0	6	0.0011948325380520821	655655.6641287211	656440.0	0.8962162190556109	682457	761487	0.7904466375012718	0.8779849312122201	233079	258891.4166665473	294870
